Heath monochromator readings:;
Time: 11:27:45;
Date: 13-8-2021;
Slit width: 10 microns;
Dwell time: 50 milliseconds;
Start wavelength: 6321 Angstroms;
End wavelength: 6375 Angstroms;
Increment: 1.0 Angstroms;
;
;
5,00632E+16;
Begin scan:;
;
;
06321.0;87
06322.0;93
06323.0;94
06324.0;82
06325.0;112
06326.0;82
06327.0;104
06328.0;109
06329.0;97
06330.0;101
06331.0;97
06332.0;105
06333.0;104
06334.0;115
06335.0;111
06336.0;99
06337.0;132
06338.0;143
06339.0;114
06340.0;108
06341.0;203
06342.0;133
06343.0;163
06344.0;178
06345.0;238
06346.0;422
06347.0;610
06348.0;1228
06349.0;3001
06350.0;3717
06351.0;3925
06352.0;1218
06353.0;552
06354.0;367
06355.0;241
06356.0;236
06357.0;141
06358.0;136
06359.0;113
06360.0;136
06361.0;102
06362.0;115
06363.0;110
06364.0;121
06365.0;107
06366.0;94
06367.0;90
06368.0;100
06369.0;84
06370.0;104
06371.0;99
06372.0;99
06373.0;93
06374.0;87
06375.0;88
