Wavelength (m),Uncertainty of Wavelength (m),Actual Wavelength values (m),Uncertainty of Wavelength for Actual (m)
6.563104581215286e-07,9.665424849442313e-11,6.56285175e-07,6.999999999999999e-15
4.860067087307173e-07,6.258343356573805e-11,4.861283363e-07,2.4000000000000003e-15
4.3389281439075056e-07,1.0745780766135848e-10,4.340472e-07,6.000000000000001e-13
4.1003244945027775e-07,9.047557234823219e-11,4.101707462e-07,2.1e-15
